PE Product No.;Product No.;Description;Category
PE92078130;9207-8130;UDM Tray, #3, cup reamer, odd;UDM
PE92061102-RB;9206-1102-RB;Cup reamer handle, offset;UDM
PE92071103;9207-1103;Cup positioner, straight;UDM
PE92071303;9207-1303;Cup positioner, offset;UDM
PE92034045;9203-4045;Cup reamer, 45mm;UDM
PE92034047;9203-4047;Cup reamer, 47mm;UDM
PE92034049;9203-4049;Cup reamer, 49mm;UDM
PE92034051;9203-4051;Cup reamer, 51mm;UDM
PE92034053;9203-4053;Cup reamer, 53mm;UDM
PE92034055;9203-4055;Cup reamer, 55mm;UDM
PE92034057;9203-4057;Cup reamer, 57mm;UDM
PE92034059;9203-4059;Cup reamer, 59mm;UDM
PE92034061;9203-4061;Cup reamer, 61mm;UDM
PE99018104;9901-8104;Tray lid;UDM
PE92078140;9207-8140;UDM Tray, #4, extreme sizes;UDM
PE92034040;9203-4040;Cup reamer, 40mm;UDM
PE92034041;9203-4041;Cup reamer, 41mm;UDM
PE92034043;9203-4043;Cup reamer, 43mm;UDM
PE92034063;9203-4063;Cup reamer, 63mm;UDM
PE92034064;9203-4064;Cup reamer, 64mm;UDM
PE92034065;9203-4065;Cup reamer, 65mm;UDM
PE92034066;9203-4066;Cup reamer, 66mm;UDM
PE92034067;9203-4067;Cup reamer, 67mm;UDM
PE92034068;9203-4068;Cup reamer, 68mm;UDM
PE13072042;1307-2042;DM cup trial, OD42mm;UDM
PE13072044;1307-2044;DM cup trial, OD44mm;UDM
PE13072064;1307-2064;DM cup trial, OD64mm;UDM
PE13072066;1307-2066;DM cup trial, OD66mm;UDM
PE13072068;1307-2068;DM cup trial, OD68mm;UDM
PE12072442;1207-2442;DM Liner trial, OD42mm, ID22mm;UDM
PE12072444;1207-2444;DM Liner trial, OD44mm, ID22mm;UDM
PE12072664;1207-2664;DM Liner trial, OD64~68mm, ID28mm;UDM
PE12072628;1207-2628;DM liner trial adaptor, 28/22;UDM
PE92079042;9207-9042;Cup holder adaptor, OD42mm;UDM
PE92079044;9207-9044;Cup holder adaptor, OD44mm;UDM
PE92079064;9207-9064;Cup holder adaptor, OD64mm;UDM
PE92079066;9207-9066;Cup holder adaptor, OD66mm;UDM
PE92079068;9207-9068;Cup holder adaptor, OD68mm;UDM
PE99018104;9901-8104;Tray lid;UDM
PE92078150;9207-8150;UDM Tray, #5, peg-fixed;UDM
PE92074302-RA;9207-4302-RA;Peg dilator, offset;UDM
PE92071302;9207-1302;Peg inserter, offset;UDM
PE92075102;9207-5102;Peg remover;UDM
PE92074305-RA;9207-4305-RA;Peg dilator, curved;UDM
PE92071305;9207-1305;Peg inserter, curved;UDM
PE93043100;9304-3100;Drill, 3.2mm;UDM
PE92074303;9207-4303;DM Flexible Peg Drill;UDM
PE92061113;9206-1113;Straight screw driver;UDM
PE97211041-RB;9721-1041-RB;Ratcheting handle;UDM
PE92067101;9206-7101;Depth gauge;UDM
PE92072002;9207-2002;Peg remover guide;UDM
PE92072003;9207-2003;Drill guide, peg;UDM
PE92072001;9207-2001;Drill guide, flange, Ø3.2;UDM
PE92075106;9207-5106;Flange bender;UDM
PE99018101;9901-8101;2-Tray Case;Accessories
